source_entity,relationship_type,target_entity,source_document
AI Automation,LEADS_TO,Robotics Engineer,Concept Note - AI Powered REF Career Guidance Tool.pdf
AI Ethics Officer,PART_OF_INDUSTRY,Technology Governance,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,LEADS_TO,Agility,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,LEADS_TO,Creativity,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,LEADS_TO,Critical Thinking,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,LEADS_TO,Curiosity,Concept Note - AI Powered REF Career Guidance Tool.pdf
Data Scientist,REQUIRES_SKILL,Python Programming,Concept Note - AI Powered REF Career Guidance Tool.pdf
Financial Technology,INFLUENCED_BY,Blockchain Adoption,Concept Note - AI Powered REF Career Guidance Tool.pdf
IoT-based monitoring,LEADS_TO,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
aquaculture,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
aquaculture technicians,PART_OF_INDUSTRY,aquaculture,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
boat mechanics,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
conservation,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
digital market platforms,LEADS_TO,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
engineers,PART_OF_INDUSTRY,hydropower sector,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fisheries,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fisheries management,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fish processing specialists,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
hatchery managers,PART_OF_INDUSTRY,aquaculture,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
hydropower sector,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
remote sensing,LEADS_TO,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
technicians,PART_OF_INDUSTRY,hydropower sector,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
tourism,PART_OF_INDUSTRY,Ethiopia's Blue Economy,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Coastal and Marine Tourism,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Community-led Roles,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Conservation,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Digital Skills,Skill,REQUIRES_SKILL,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Ecotourism,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Fisheries,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Freelance Consultancy,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Green Technologies,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,PART_OF_INDUSTRY,Maritime Automation,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,Skill,REQUIRES_SKILL,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,PART_OF_INDUSTRY,Smart Ports,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,PART_OF_INDUSTRY,Sustainable Aquaculture,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Automation,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Automation,Skill,REQUIRES_SKILL,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Automation,PART_OF_INDUSTRY,Smart Ports,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Transport,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Offshore Oil and Gas,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Ports,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Project-based Contracts,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Research,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Smart Ports,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Sustainable Aquaculture,PART_OF_INDUSTRY,Blue Economy,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Technical Skills,Skill,REQUIRES_SKILL,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,INFLUENCED_BY,Blue Economy Master Plan,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,INFLUENCED_BY,Bottom-Up Economic Transformation Agenda (BETA),Kenya Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,INFLUENCED_BY,Constitution of Kenya 2010,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,PART_OF_INDUSTRY,Kenya,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,INFLUENCED_BY,Kenya Vision 2030,Kenya Colour Coded Analysis 25-26 June 2025.pdf
