entity_name,entity_type,source_document
AI Automation,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
AI Ethics Officer,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
Agility,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Big Data,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Blockchain Adoption,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Creativity,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Critical Thinking,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Curiosity,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
DSTI,Organization,Concept Note - AI Powered REF Career Guidance Tool.pdf
Data Scientist,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
Financial Technology,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Gig Economy,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Green Transition,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
HSRC,Organization,Concept Note - AI Powered REF Career Guidance Tool.pdf
Healthcare,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Machine Learning,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Project Management,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Python Programming,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Renewable Energy,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Robotics Engineer,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
AI,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
IT,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
NGO operations,Organization,Describing The Refracted Economies Framework (3 July 2025).pdf
agriculture,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
arts,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
banking,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
coastal tourism,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
conservation initiatives,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
construction,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
counseling,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
distribution,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
education,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
energy systems,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
fashion,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
fintech,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
fishing,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
forestry,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
government,Organization,Describing The Refracted Economies Framework (3 July 2025).pdf
healthcare,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
insurance,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
logistics,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
manufacturing,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
maritime transport,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
media,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
mining,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
recycling programs,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
renewable energy development,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
retail,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
social work,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
software development,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
sports,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
tourism,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
African Union's Agenda 2063,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Community-Based Organizations (CBOs),Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ethiopian Water Resources Management Policy,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ethiopia's Blue Economy,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Intergovernmental Authority on Development (IGAD),Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
IoT-based monitoring,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ministry of Agriculture,Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
National Energy Policy,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
